Neighborhoods,r0,r1,Rpl1,Ln(Rpl1),Rpl2,Rpl3,Rpl4,Rpl Overall,Raw Visitor,Ln(Visitors),Raw Visits,Ln(Visits),Tot pop,Sum of Area Sqmi,Pop Dens,Ln(pop dens),Males,Males perc,Females,Female perc,White pop,White perc,Asian pop,Asian perc,Ln(Asian perc+1),Afri Amer perc,Afri Amer pop,Ln(Afri Amer perc+1),Pacific Isl pop,Pacific Isl perc,Log(Pacific Isl perc+1),Other pop,Two or more pop
Hidden Hills,52.91,158.73,4.012157697,1.389329176,0.6045,1.7304,0.2327,0.8001,53982.93893,10.89642333,101468.8244,11.52750688,5568,4.012157697,1387.781942,7.235462026,2881,0.517420977,2868,0.515086207,4883,0.876975575,655,0.117636494,0.111216182,0,0,0,0,0,0,26,185
Highland Park,247.98,438.1,0.211150938,-1.555182055,2.593771429,2.107228571,1.495957143,2.617914286,53982.93893,10.89642333,101468.8244,11.52750688,48651,2.95611313,16457.75986,9.708552369,23733,0.487821422,24979,0.513432406,22773,0.468089042,5050,0.103800539,0.09875926,0.017697478,861,0.017542701,124,0.002548766,0.002545523,17417,1517
Hollywood,322.33,411.7,0.170494149,-1.7690543,2.260190909,1.05785,1.06115,2.998736364,77938,11.26366892,139787,11.84787511,75678,3.750871276,20176.11228,9.912254623,41703,0.551058432,35779,0.472779407,42333,0.559383176,5566,0.073548455,0.070969475,0.005179841,392,0.005166472,57,0.000753191,0.000752907,20793,3249
Hollywood Hills,248.01,288.78,0.762504539,-0.271146818,1.376133333,0.858533333,0.251266667,1.942166667,19288,9.86723842,35295,10.47149659,20391,4.575027232,4457.022651,8.402236255,11226,0.550537002,9310,0.456573979,16312,0.799960767,1309,0.064194988,0.062218634,0.004168506,85,0.004159842,38,0.001863567,0.001861833,752,1367
Huntington Park,364.8,897.72,0.160560903,-1.82908195,3.425494737,2.110726316,1.924489474,2.6354,35581,10.47956707,60464,11.00980343,61341,3.050657153,20107.47092,9.908846713,30262,0.493340506,31368,0.511370861,40416,0.658874162,396,0.006455715,0.006434966,0.002901811,178,0.002897609,193,0.003146346,0.003141407,19483,591
Hyde Park,332.85,550.09,0.287836184,-1.245363766,2.91072,2.44288,1.46882,2.76696,16540,9.713536969,28542,10.25913197,35852,2.878361837,12455.69599,9.429933307,16344,0.455874149,19023,0.530598014,7366,0.205455763,454,0.012663171,0.012583664,0.004434899,159,0.004425094,40,0.001115698,0.001115076,6500,832
Industry,2517.16,2517.16,2.105462855,0.744535327,2.117485714,1.854314286,1.647342857,2.169428571,36019,10.49180186,70300,11.16052708,27091,14.73823998,1838.143498,7.516511373,13479,0.49754531,13906,0.513307002,10791,0.398324167,7964,0.293972168,0.257716687,0.005167768,140,0.005154461,9,0.000332214,0.000332159,7005,818
Inglewood,380.34,540.58,0.33180765,-1.103199845,2.621755556,2.327988889,1.504314815,2.373792593,61465,11.02622319,117663,11.67557989,110193,8.958806561,12299.9642,9.417351631,52177,0.473505577,58508,0.530959317,30099,0.273148022,1476,0.01339468,0.013305764,0.006134691,676,0.00611595,352,0.003194395,0.003189304,27121,4051
Irwindale,205.62,274.16,1.864038294,0.62274526,0.5423,1.672,0.2789,0.4394,601,6.398594935,1092,6.995766156,4688,1.864038294,2514.969792,7.830016071,639,0.136305461,680,0.145051195,745,0.158916382,14,0.002986348,0.002981898,0.001706485,8,0.001705031,0,0,0,518,25
Jefferson Park,322.06,520.25,0.227747026,-1.479519801,2.889216667,2.156333333,1.644433333,3.057966667,53982.93893,10.89642333,101468.8244,11.52750688,25114,1.366482159,18378.57877,9.818941068,11468,0.456637732,12977,0.51672374,5008,0.199410687,788,0.031376921,0.030894726,0.012303894,309,0.012228816,56,0.002229832,0.00222735,8424,870
Koreatown,379.16,553.27,0.077918446,-2.552092563,2.603706897,1.345631034,1.771637931,3.341193103,42088,10.64751794,80848,11.30032613,94226,2.259634929,41699.65634,10.63824817,48074,0.510198884,47587,0.505030459,24941,0.264693397,36197,0.384150871,0.325086862,0.00713179,672,0.007106479,279,0.002960966,0.002956591,26061,2473
La Canada Flintridge,217.46,246.46,2.105442874,0.744525836,0.3571,1.755875,0.57885,0.655775,20656,9.935761113,41806,10.64079515,19686,8.421771497,2337.512958,7.756842805,9719,0.493701107,10057,0.51087067,12882,0.654373667,5575,0.28319618,0.249353981,0,0,0,0,0,0,285,965
La Crescenta-Montrose,106.06,161.61,0.90803922,-0.096467707,1.13365,1.91005,0.7891,1.1253,12013,9.393744676,19198,9.862561386,20188,3.632156881,5558.129966,8.623016994,9667,0.478848821,10858,0.537844264,13154,0.651575193,5669,0.280810382,0.247492989,0.001238359,25,0.001237593,15,0.000743016,0.00074274,654,874
La Habra Heights,128.32,164.99,3.309486034,1.196792901,0.59475,1.842,0.6736,1.37545,17301,9.758519582,35006,10.46327475,11118,6.618972068,1679.717014,7.426380614,4706,0.423277568,5163,0.464382083,6817,0.613149847,1530,0.137614679,0.128933683,0.001259219,14,0.001258427,58,0.005216766,0.005203206,973,460
La Mirada,163.31,370.98,0.780547317,-0.247759917,1.66915,1.65514,0.99057,2.25409,11014,9.30692247,20529,9.9295938,48974,7.805473166,6274.315337,8.744219648,24149,0.493098379,24981,0.510086985,27802,0.567688978,9716,0.198390983,0.18097981,0.003164945,155,0.003159947,76,0.001551844,0.001550641,7679,2664
La Puente,142.52,336.63,0.373009522,-0.986151332,3.0108125,2.160525,1.771575,2.56775,11179,9.321792297,21582,9.979614913,39745,2.984076179,13319.02995,9.496949115,20785,0.522958863,21721,0.546508995,16793,0.422518556,4826,0.121424079,0.114599377,0.006793307,270,0.006770336,87,0.002188955,0.002186563,18862,1118
La Verne,213.16,335.24,1.157087793,0.145906325,1.468428571,2.202114286,0.586385714,2.033342857,89816,11.40551841,169615,12.04128644,30656,8.09961455,3784.871467,8.238767207,16853,0.549745564,17359,0.566251305,25611,0.835431889,2578,0.084094468,0.080745047,0.006882829,211,0.00685925,118,0.003849165,0.003841776,2489,1712
Ladera Heights,240.42,268.7,1.326445313,0.282502667,1.13455,1.9066,0.826325,1.901,53982.93893,10.89642333,101468.8244,11.52750688,21854,5.305781251,4118.903318,8.323342222,10378,0.474878741,12030,0.55047131,8362,0.382630182,2214,0.101308685,0.096499186,0.001876087,41,0.001874329,0,0,0,820,1061
Lake Balboa,326.97,495.19,0.457761814,-0.781406287,1.900557143,1.965542857,1.091385714,2.064428571,20869,9.946020083,35413,10.47483426,28523,3.204332699,8901.385305,9.093962196,14404,0.504995968,13870,0.486274235,15468,0.542299197,3005,0.105353574,0.10016526,0.004382428,125,0.004372853,55,0.001928268,0.001926411,7436,1023
Lake Los Angeles,192.4,230.88,7.713654637,2.042992088,3.2264,2.5362,0.9593,1.8138,53982.93893,10.89642333,101468.8244,11.52750688,5684,7.713654637,736.8750959,6.602418401,2885,0.507565095,3052,0.536945813,4560,0.802251935,190,0.033427164,0.032880623,0.003870514,22,0.003863043,0,0,0,455,234
Lakewood,135.64,243.9,0.53953265,-0.617051977,1.513477778,1.828027778,0.853394444,1.616216667,104413,11.55610947,186982,12.13876763,83934,9.711587697,8642.665094,9.064466274,40990,0.488359902,43233,0.51508328,44461,0.529713823,15043,0.179224152,0.164856724,0.004932447,414,0.004920322,1375,0.016381919,0.016249183,12105,4833
Lawndale,240.97,374.84,0.329025764,-1.111619221,2.374233333,1.69755,1.521066667,2.77975,12783,9.455871442,21649,9.982714543,33007,1.974154584,16719.56202,9.724334691,17181,0.520525949,15980,0.484139728,15849,0.480170873,3394,0.102826673,0.097876586,0.004150635,137,0.004142045,419,0.012694277,0.01261438,7152,3026
Leimert Park,269.12,400.39,0.385468921,-0.953294709,2.0154,2.079133333,1.146466667,2.115566667,7790,8.960596139,14751,9.599066156,11457,1.156406764,9907.413513,9.201038596,5072,0.442698787,6717,0.586279131,1605,0.140089029,304,0.026533997,0.026188076,0.000698263,8,0.000698019,16,0.001396526,0.001395552,958,684
Lennox,314.97,452.49,0.242576072,-1.416439919,3.1762,2.00362,1.86918,2.9705,34970,10.46224583,62023,11.03526056,21456,1.212880359,17690.12075,9.780761613,11019,0.51356264,11009,0.51309657,8931,0.416247204,385,0.017943699,0.017784611,0.010859433,233,0.010800893,0,0,0,10724,549
Leona Valley,57.11,171.33,0.2437,-1.411817318,1.141,1.889,0.2428,0.2437,55940,10.93203497,96601,11.47834437,3935,23.89502845,164.678607,5.103995738,1916,0.486912325,1988,0.505209657,3380,0.858958069,46,0.011689962,0.011622162,0.01931385,76,0.019129705,0,0,0,99,89
Lincoln Heights,490.84,858.97,0.313428981,-1.16018248,3.296966667,2.423433333,1.8473,3.157983333,23476,10.0637339,56996,10.95073637,24852,1.880573883,13215.11493,9.489116524,12655,0.50921455,12308,0.495251891,8742,0.351762434,6578,0.264686947,0.234824619,0.006277161,156,0.006257542,27,0.001086432,0.001085842,8889,480
Lomita,202.61,250.86,0.424827902,-0.856071129,1.592066667,1.833566667,0.780866667,2.804733333,53982.93893,10.89642333,101468.8244,11.52750688,13215,1.274483705,10368.90464,9.246566668,6174,0.467196368,6684,0.505788876,7825,0.592130155,1984,0.150132425,0.139877088,0.001967461,26,0.001965528,35,0.002648505,0.002645004,1482,1183
Los Feliz,194.37,249.91,0.262977612,-1.335686376,1.34055,1.171866667,0.596616667,2.044266667,53926,10.89536802,112724,11.63269763,35311,3.15573134,11189.48231,9.322729537,18305,0.518393702,18135,0.513579338,26403,0.747727337,4574,0.129534706,0.121805783,0.000764634,27,0.000764342,42,0.001189431,0.001188724,2897,1607
Malibu,246.89,293.19,6.248619169,1.832360506,0.4054,1.9748,0.0963,2.6527,30922,10.33922318,59022,10.98566553,7235,6.248619169,1157.855809,7.054325133,3655,0.505183138,3540,0.489288182,6255,0.864547339,297,0.041050449,0.040230251,0,0,0,0,0,0,93,473
Manchester Square,199.16,304.59,0.379060851,-0.97005853,2.61685,2.62415,1.4003,2.2922,53982.93893,10.89642333,101468.8244,11.52750688,8776,0.758121701,11575.97783,9.356687353,3540,0.403372835,5026,0.572698268,1157,0.131836828,62,0.007064722,0.007039884,0.006153145,54,0.006134292,31,0.003532361,0.003526137,619,365
Manhattan Beach,197.23,222.23,0.492154036,-0.70896353,0.5400125,1.67725,0.1703875,1.0277875,28466,10.25646567,51288,10.84521209,35573,3.937232286,9035.026998,9.108864191,17362,0.488066792,18211,0.511933208,28664,0.805779664,3415,0.095999775,0.091666983,0.006915357,246,0.006891556,7,0.000196778,0.000196759,650,2246
Mar Vista,150.69,195.43,0.285700885,-1.252809872,1.59592,1.36199,0.8887,2.29728,11292,9.331849789,20733,9.939481913,37419,2.857008853,13097.26428,9.480158654,19084,0.510008285,18465,0.493465886,23600,0.630695636,4902,0.131002966,0.12310482,0.029316657,1097,0.028895142,59,0.001576739,0.001575497,4208,2248
Marina del Rey,138.14,159.39,0.857663431,-0.153543528,0.928,0.8222,0.4017,1.3922,53982.93893,10.89642333,101468.8244,11.52750688,9771,0.857663431,11392.58087,9.340717622,5234,0.535666769,4548,0.465459011,7704,0.788455634,796,0.081465561,0.078317122,0,0,0,0,0,0,410,245
Maywood,356.52,1087.38,0.176406088,-1.734966624,3.369757143,2.046442857,1.919528571,2.491485714,10042,9.214531577,17664,9.779283949,27542,1.234842615,22304.05694,10.01252387,13878,0.503884976,13794,0.500835088,22616,0.821145886,27,0.000980321,0.000979841,0.001416019,39,0.001415017,0,0,0,4646,241
Mid-City,286.09,771.79,0.254526381,-1.36835079,2.208535714,1.497314286,1.306857143,2.788421429,20284,9.917587677,39056,10.57275179,50738,3.563369336,14238.77101,9.563723876,25291,0.498462691,27117,0.534451496,22562,0.444676574,2997,0.059068154,0.057389421,0.010918838,554,0.010859658,45,0.000886909,0.000886516,10628,1929
Mission Hills,410.38,679.82,0.64750178,-0.434633736,2.2287,2.13132,1.3617,2.41716,14766,9.60008252,26190,10.17313294,19199,3.237508898,5930.176752,8.687809298,9427,0.491015157,9336,0.486275327,10646,0.554508047,1937,0.100890671,0.096119553,0.007812907,150,0.007782544,0,0,0,5120,566
Monrovia,631.35,958.63,2.158099417,0.769227935,1.5743625,1.7783875,0.8805125,2.027325,11292,9.331849789,23509,10.06513861,38393,17.26479533,2223.773828,7.706960954,20407,0.531529185,21158,0.551090042,27137,0.706821556,5829,0.151824551,0.141347251,0.003203709,123,0.003198588,73,0.001901388,0.001899583,3172,2307
Montebello,340.19,658.64,0.55321533,-0.592007968,2.539492857,2.379035714,1.653257143,2.454714286,96311,11.47533782,179365,12.09717811,61333,7.745014614,7919.029602,8.977023952,29923,0.487877652,31357,0.511258213,39829,0.649389399,6802,0.110902777,0.105172997,0.01098919,674,0.010929248,39,0.000635873,0.000635671,11649,1498
Monterey Park,178.28,269.83,0.550948225,-0.59611444,2.1485875,1.90454375,1.77966875,2.2747875,39669,10.58832531,74938,11.22441638,66803,8.815171595,7578.184869,8.933028987,32494,0.486415281,35402,0.52994626,12155,0.181952906,42329,0.633639208,0.490810169,0.006571561,439,0.006550062,286,0.004281245,0.004272107,10566,1711
North Hills,440.11,787.66,0.34972791,-1.050599827,2.659957143,2.070914286,1.477964286,2.688457143,33468,10.41834504,61544,11.02750765,59483,4.896190737,12148.83226,9.404988334,28483,0.478842695,28903,0.485903535,26324,0.44254661,7480,0.125750214,0.11844967,0.001328111,79,0.00132723,69,0.001159995,0.001159323,19926,1670
North Hollywood,330.87,484.74,0.256037627,-1.362430865,2.485404545,1.419209091,1.291813636,2.692186364,59336,10.99097148,107344,11.58379391,76039,5.632827792,13499.25878,9.510390058,40295,0.529925433,38487,0.506148161,47821,0.628900959,5950,0.078249319,0.075338725,0.003629716,276,0.003623144,156,0.002051579,0.002049477,17163,2522
North Whittier,83.73,143.54,3.425813934,1.231339088,0.932,1.3205,0.9818,0.7623,30199,10.31556409,63547,11.05953507,2904,3.425813934,847.6817644,6.742505288,1663,0.572658402,1605,0.55268595,2108,0.725895317,495,0.170454545,0.157392173,0.003099174,9,0.003094381,0,0,0,450,181
Northridge,316.63,507.19,0.621550668,-0.475537846,1.879007143,1.766635714,1.004985714,2.578035714,16746,9.725914703,31234,10.34926252,64725,8.701709345,7438.193743,8.914383322,31782,0.491031286,31602,0.48825029,34996,0.540687524,10349,0.15989185,0.148326768,0.002456547,159,0.002453535,194,0.002997296,0.002992813,9413,2744
Norwalk,243.44,446.01,0.554311162,-0.590029086,2.35305,1.8182,1.513427273,2.601690909,92843,11.43866517,159479,11.97966753,106815,12.19484557,8759.028509,9.077840277,53302,0.499012311,53840,0.504049057,58437,0.547086083,14344,0.134288255,0.126005366,0.006628283,708,0.006606413,354,0.003314141,0.003308661,25576,3120
Pacific Palisades,187.87,267.72,3.459146175,1.241021788,0.535857143,2.0169,0.164785714,1.182357143,2262,7.724004657,4382,8.38526052,24281,24.21402323,1002.766032,6.910517493,11813,0.486512088,13090,0.53910465,21872,0.900786623,1260,0.051892426,0.050590852,0.001194349,29,0.001193636,2,8.24E-05,8.24E-05,80,1314
Pacoima,574.18,1017.16,0.353729908,-1.039221629,3.072342105,2.289084211,1.848736842,2.501878947,57282,10.95574172,103389,11.54625385,78415,6.720868246,11667.39134,9.364553165,37689,0.480635083,37882,0.483096346,45963,0.586150609,2426,0.030937958,0.030469027,0.006809922,534,0.006786839,43,0.000548364,0.000548214,21963,1302
Palmdale,793.99,958.18,4.100560301,1.411123623,2.739893939,2.326954545,1.283869697,1.847654545,76723,11.24795681,138312,11.83726728,168729,135.3184899,1246.90277,7.128417972,83667,0.495866152,84422,0.500340783,72693,0.430826947,7218,0.042778657,0.041888936,0.007094216,1197,0.00706917,243,0.001440179,0.001439143,56285,8791
Palms,355.54,430.75,0.180245225,-1.713436994,1.326281818,0.514654545,0.759690909,2.561218182,14991,9.6152053,30030,10.30995216,42641,1.982697476,21506.55888,9.976113232,22773,0.53406346,21283,0.499120565,24944,0.5849769,10622,0.249102976,0.222425675,0.004643418,198,0.004632671,183,0.004291644,0.004282461,2301,2296
Palos Verdes Estates,295.81,310.6,1.59133561,0.46457367,0.424933333,1.920633333,0.4732,1.070066667,53982.93893,10.89642333,101468.8244,11.52750688,13523,4.774006829,2832.631055,7.94896126,6597,0.487835539,6985,0.516527398,9737,0.720032537,2780,0.205575686,0.186957201,0.001626858,22,0.001625536,9,0.000665533,0.000665312,141,704
Panorama City,619.27,1071.1,0.216276258,-1.531198716,3.173344444,2.343783333,1.742238889,2.78045,51023,10.84003179,93957,11.45059251,71639,3.892972642,18402.13292,9.820221856,35967,0.502058934,37523,0.523778947,35216,0.491575818,11557,0.161322743,0.149559651,0.004801854,344,0.004790362,60,0.000837533,0.000837182,23308,1121
Paramount,324.87,642.59,0.4482528,-0.80239792,2.89157,2.14244,1.6648,3.13961,53982.93893,10.89642333,101468.8244,11.52750688,48737,4.482528002,10872.65935,9.294006601,24385,0.500338552,24360,0.499825595,26731,0.548474465,1273,0.026119786,0.02578449,0.008248353,402,0.008214521,383,0.007858506,0.007827789,13864,1258
Pico Rivera,420.01,843.13,0.61735711,-0.482307638,2.341992308,2.062630769,1.599484615,2.525153846,57049,10.95166583,108700,11.59634707,64564,8.025642427,8044.71425,8.99277054,31784,0.492286723,33277,0.515411065,35353,0.547565207,1770,0.027414658,0.027045606,0.009262128,598,0.009219498,32,0.000495632,0.000495509,25224,1403
Pico-Union,905.79,1393.34,0.125707668,-2.073796163,3.384985714,2.134578571,1.9242,3.495214286,53982.93893,10.89642333,101468.8244,11.52750688,45071,1.759907357,25609.87078,10.15073313,22346,0.495795523,21723,0.481972887,11300,0.250715538,4997,0.110869517,0.105143057,0.009984247,450,0.009934734,28,0.000621242,0.000621049,25083,842
Playa del Rey,31.29,93.87,0.411908479,-0.886954093,0.526,1.07835,0.2423,1.2313,53982.93893,10.89642333,101468.8244,11.52750688,8398,0.823816957,10194.01207,9.229555775,4320,0.514408192,4052,0.482495832,5992,0.713503215,804,0.09573708,0.091427269,0.003453203,29,0.003447254,0,0,0,649,423
Playa Vista,182.7,237.51,0.678860753,-0.387339249,0.89815,1.1213,0.60215,1.47025,3595,8.18729927,8069,8.995784838,13249,1.357721506,9758.260395,9.185869425,5674,0.428258737,6024,0.454675825,6359,0.479960752,3162,0.238659521,0.214029763,0.00173598,23,0.001734475,23,0.00173598,0.001734475,399,613
Pomona,224.75,487,0.64094327,-0.444814328,2.919548387,2.002441935,1.574412903,2.600248387,96234,11.474538,183328,12.11903218,141071,19.86924136,7099.969117,8.867845713,75418,0.534610232,76935,0.545363682,89123,0.631759894,14109,0.100013468,0.095322423,0.016041568,2263,0.015914262,531,0.003764062,0.003756996,29953,6274
Porter Ranch,182.65,258.51,0.850217729,-0.162262811,0.924757143,1.736642857,0.801014286,0.796928571,130295,11.77755639,228339,12.33858665,27205,5.951524105,4571.098011,8.42750872,13988,0.514170189,13974,0.513655578,16645,0.61183606,8167,0.300202169,0.262519767,0.00124977,34,0.00124899,151,0.00555045,0.005535103,1026,1198
Quartz Hill,224.7,356.42,1.74887816,0.558974531,1.58565,2.24085,0.4942,2.08065,32,3.465735903,41,3.713572067,9443,3.497756319,2699.730667,7.900907294,4679,0.495499312,4726,0.500476543,7653,0.810441597,278,0.029439797,0.029014768,0.004130043,39,0.004121538,0,0,0,506,238
Rancho Dominguez,450.96,676.44,3.215061701,1.167846549,2.2862,1.8004,1.1243,2.5275,33000,10.40426284,61228,11.02235988,3356,3.215061701,1043.836888,6.950658519,1498,0.44636472,1729,0.515196663,1421,0.423420739,288,0.085816448,0.082332191,0,0,0,0,0,0,524,123
Rancho Palos Verdes,175.45,224.58,1.640848268,0.495213345,0.5884125,1.932,0.7243375,1.5905375,53982.93893,10.89642333,101468.8244,11.52750688,37910,13.12678615,2887.987934,7.968315322,17943,0.473305197,19849,0.523582168,22648,0.59741493,11264,0.297124769,0.260150099,0,0,0,218,0.005750462,0.005733991,661,2240
Rancho Park,182.93,274.39,0.310569638,-1.169347126,1.2041,1.5905,0.5561,2.1493,53982.93893,10.89642333,101468.8244,11.52750688,2500,0.310569638,8049.724423,8.993393137,1250,0.5,1321,0.5284,1684,0.6736,620,0.248,0.22154227,0,0,0,54,0.0216,0.021370026,56,121
Redondo Beach,174.68,208.16,0.476787499,-0.740684382,0.706338462,1.453492308,0.373915385,1.764676923,35296,10.47152492,62966,11.05035018,67700,6.198237492,10922.45983,9.298576483,34126,0.504076809,33538,0.495391433,49333,0.728700148,8513,0.125745938,0.118445872,0.003604136,244,0.003597657,52,0.000768095,0.0007678,3221,4271
Reseda Ranch,496.12,647.11,0.430309639,-0.843250239,2.491338462,2.064053846,1.386323077,2.730915385,48341,10.78603534,87759,11.3823497,70586,5.594025312,12618.10522,9.442887984,34408,0.487462103,35273,0.499716658,46769,0.662581815,8235,0.116666194,0.110347634,0.003966792,280,0.003958945,191,0.002705919,0.002702265,8505,2587
Rolling Hills,103.09,103.09,2.991623702,1.095816284,0.6206,2.0446,0.2948,0.426,53982.93893,10.89642333,101468.8244,11.52750688,1630,2.991623702,544.8546216,6.30051901,903,0.55398773,857,0.525766871,1319,0.809202454,298,0.182822086,0.167903181,0.001840491,3,0.001838799,0,0,0,22,106
Rolling Hills Estates,160.24,172.56,1.011503842,0.011438176,0.91005,2.0843,0.695425,1.36935,20215,9.914180182,39941,10.59515864,14974,4.046015369,3700.925141,8.216338105,7247,0.483972219,8134,0.543208228,9338,0.623614265,3351,0.223787899,0.201950884,0.005209029,78,0.005195509,0,0,0,959,1016
Rosemead,101.17,218.61,0.371521314,-0.990149044,2.750136364,1.901818182,1.875027273,2.5462,46526,10.74776658,87015,11.3738358,45653,4.086734458,11171.02187,9.321078371,22972,0.503187085,23012,0.50406326,8343,0.182748122,27972,0.612708913,0.47791532,0.006396075,292,0.006375707,110,0.00240948,0.002406582,8600,539
Rowland Heights,141.12,276.35,1.30040175,0.262673255,1.806090909,1.485254545,1.672781818,1.988563636,78899,11.27592383,137552,11.83175731,47785,14.30441925,3340.576025,8.113898534,23982,0.501872973,24042,0.503128597,11695,0.244742074,28802,0.602741446,0.471715567,0.004813226,230,0.004801679,82,0.00171602,0.001714549,5289,1433
San Dimas,107.2,179.63,2.16858392,0.774074383,1.347075,1.9498,0.754125,2.235875,9793,9.189423124,18588,9.83027149,40475,17.34867136,2333.031686,7.754923854,19083,0.47147622,21864,0.5401853,26938,0.665546634,5677,0.140259419,0.131255797,0.00699197,283,0.00696764,44,0.001087091,0.001086501,4301,2634
San Fernando,556.64,788.23,0.567050864,-0.567306272,2.84756,2.22148,1.76452,2.39048,59783,10.99847662,104695,11.55880664,29406,2.835254321,10371.55637,9.246822374,14770,0.502278447,14418,0.4903081,17647,0.600115623,297,0.01009998,0.010049316,0.00469292,138,0.004681943,214,0.007277426,0.007251073,9434,780
San Gabriel,139.18,341.85,0.490950744,-0.711411474,2.052355556,1.601711111,1.628633333,2.249922222,16785,9.728240909,34942,10.46144482,44103,4.418556693,9981.313597,9.208469984,20956,0.47516042,22721,0.515180373,9363,0.212298483,26654,0.60435798,0.472723664,0.001587194,70,0.001585936,164,0.003718568,0.003711671,6325,766
San Marino,135.57,173.23,1.882638179,0.63267408,0.65395,1.8416,1.0587,1.69605,53982.93893,10.89642333,101468.8244,11.52750688,13285,3.765276357,3528.293474,8.168569598,6665,0.501693639,6659,0.501242002,4983,0.375084682,7301,0.549567181,0.437975654,0,0,0,23,0.001731276,0.001729779,500,350
San Pasqual,0,49.14,0.499885101,-0.693377005,0.94415,1.4641,0.9338,2.6625,53982.93893,10.89642333,101468.8244,11.52750688,7868,0.999770202,7869.808466,8.970789004,3739,0.475216065,3755,0.477249619,3764,0.478393493,2029,0.25788002,0.22942778,0,0,0,18,0.002287748,0.002285135,805,318
Santa Clarita,230.01,350.23,1.567942857,0.449764478,1.391134146,1.904034146,0.670246341,1.876614634,91470,11.42376633,157377,11.96639948,193689,64.28565713,3012.942679,8.010672514,96481,0.49812328,98532,0.50871242,138604,0.715600783,20911,0.107961732,0.10252205,0.005766977,1117,0.005750412,147,0.000758949,0.000758661,14439,11816
Santa Fe Springs,190.59,397.52,1.681851689,0.519895382,1.9879,2.200766667,1.3239,2.693733333,53982.93893,10.89642333,101468.8244,11.52750688,16424,5.045555066,3255.142355,8.087991288,7742,0.471383341,8326,0.506941062,9652,0.587676571,1169,0.071176327,0.068757416,0.018509498,304,0.018340282,0,0,0,3782,558
Santa Monica,229.32,303.96,0.442894759,-0.814423101,1.226,1.520505263,0.519594737,2.288221053,71162,11.17271425,138066,11.83548711,92078,8.415000426,10942.1266,9.300375445,45176,0.490627511,47071,0.511207889,71939,0.78128326,9250,0.100458307,0.095726736,0.004800278,442,0.004788793,91,0.000988293,0.000987805,2265,4510
Shadow Hills,202.61,270.15,2.34963762,0.854261112,1.23862,1.36958,0.4886,1.4353,30082,10.31168227,66198,11.10040553,13207,11.7481881,1124.173352,7.024803246,6101,0.461951995,6434,0.487165897,10452,0.791398501,1192,0.090255168,0.086411768,0.001362914,18,0.001361986,28,0.002120088,0.002117844,367,369
Sherman Oaks,209.73,273.91,0.50926088,-0.674794859,1.126261111,1.411594444,0.426322222,1.797911111,61709,11.03018507,114945,11.65220903,73516,9.166695846,8019.901744,8.989681449,35199,0.478793732,36938,0.502448447,57185,0.777857881,5641,0.076731596,0.073930153,0.002856521,210,0.002852449,35,0.000476087,0.000475974,1806,3310
Sierra Madre,63.7,109.2,1.275215498,0.243115182,0.8094,1.6841,0.500033333,1.126366667,2289,7.73587032,4702,8.455743229,17630,3.825646493,4608.37143,8.435629805,7414,0.420533182,8079,0.458252978,10710,0.607487238,3310,0.187748157,0.172059209,0.001361316,24,0.00136039,43,0.002439024,0.002436054,600,646
Signal Hill,110.2,288.21,1.143526788,0.134117161,2.2924,1.4675,1.1765,3.1594,18718,9.837240907,35502,10.47734431,6653,1.143526788,5817.966024,8.668705999,3302,0.496317451,3551,0.533744176,3899,0.586051405,1343,0.201863821,0.183873536,0.003156471,21,0.0031515,65,0.009770029,0.009722611,291,358
South El Monte,326.89,881.4,0.414945106,-0.879609042,3.003283333,2.2809,1.8368,2.5952,53982.93893,10.89642333,101468.8244,11.52750688,22932,2.489670638,9210.85691,9.128138166,11523,0.50248561,11485,0.500828537,14907,0.650052329,2744,0.11965812,0.113023389,0.006235828,143,0.006216466,0,0,0,4818,385
South Gate,327.03,686.67,0.351360671,-1.04594203,3.268242857,2.233204762,1.861366667,2.213152381,68900,11.14041146,119620,11.69207533,97542,7.378574086,13219.62738,9.489457927,47960,0.491685633,49420,0.506653544,56824,0.582559308,521,0.005341289,0.005327075,0.004346845,424,0.004337425,115,0.001178979,0.001178285,36561,1906
South Park,479.44,1082.69,0.195271859,-1.633362543,3.4605,2.2070375,1.9395625,2.7425875,53982.93893,10.89642333,101468.8244,11.52750688,38810,1.562174869,24843.56955,10.12035423,18366,0.473228549,19031,0.490363308,10810,0.27853646,87,0.00224169,0.002239181,0.011259985,437,0.011197063,129,0.003323886,0.003318374,20788,575
South Pasadena,403.02,495.14,0.681321149,-0.3837215,0.94634,1.7465,0.80528,1.63384,514,6.242223265,1094,6.997595983,25824,3.406605746,7580.56609,8.933343158,12681,0.491054833,13255,0.513282218,14022,0.542983271,7699,0.298133519,0.260927478,0.000542131,14,0.000541984,34,0.001316605,0.001315739,1483,1962
South San Gabriel,237.34,440.78,0.748066576,-0.2902633,2.472666667,1.719,1.869166667,3.062933333,53982.93893,10.89642333,101468.8244,11.52750688,16377,2.244199728,7297.478828,8.895284201,7732,0.472125542,8371,0.511143677,3503,0.213897539,9028,0.551260915,0.439068094,0.001709715,28,0.001708255,9,0.000549551,0.0005494,3011,477
