Neighborhoods,r0,r1,Rpl1,Ln(Rpl1),Rpl2,Rpl3,Rpl4,Rpl Overall,Raw Visitor,Ln(Visitors),Raw Visits,Ln(Visits),Tot pop,Sum of Area Sqmi,Pop Dens,Ln(pop dens),Males,Males perc,Females,Female perc,White pop,White perc,Asian pop,Asian perc,Ln(Asian perc+1),Afri Amer perc,Afri Amer pop,Ln(Afri Amer perc+1),Pacific Isl pop,Pacific Isl perc,Log(Pacific Isl perc+1),Other pop,Two or more pop
Beverly Hills,347.62,402.67,1.117326678,0.110938937,0.977957143,1.8034,0.450314286,1.526328571,63506,11.05888967,114757,11.65057213,34422,7.821286747,4401.066105,8.389602087,15913,0.462291558,18607,0.540555459,28824,0.837371448,3030,0.0880251,0.084364218,0.001191099,41,0.00119039,0,0,0,594,1596
Beverlywood,258.1,280.88,0.534445091,-0.626526283,0.6525,1.8849,0.286,0.3428,53982.93893,10.89642333,101468.8244,11.52750688,3929,0.534445091,7351.550358,8.902666503,2006,0.510562484,2209,0.562229575,3645,0.927716976,462,0.117587172,0.111172051,0,0,0,0,0,0,0,31
Bradbury,187.09,280.64,2.057642578,0.721560948,0.4167,2.058,0.6193,1.2231,53982.93893,10.89642333,101468.8244,11.52750688,6677,2.057642578,3244.97562,8.084863116,525,0.078628126,620,0.092856073,701,0.10498727,333,0.049872697,0.048668916,0.000299536,2,0.000299491,0,0,0,59,30
Brentwood,226.13,261.67,1.357944904,0.305972457,0.76321,1.65733,0.26237,1.39896,30217,10.31615996,56659,10.94480612,33846,13.57944904,2492.442801,7.821018553,14510,0.428706494,17953,0.530431957,27617,0.815960527,2861,0.08452993,0.081146649,0.002186374,74,0.002183987,0,0,0,273,1275
Burbank,292.97,376.94,0.726308425,-0.319780527,1.55615,1.6928375,0.763629167,1.91915,141455,11.85973692,245363,12.41049403,105959,17.43140221,6078.627454,8.712534202,50416,0.47580668,54167,0.511207165,74759,0.705546485,11972,0.112987099,0.107047481,0.004114799,436,0.004106356,48,0.000453005,0.000452902,9724,5046
Calabasas,197.34,333.02,3.328892293,1.202639604,0.866466667,1.979933333,0.452733333,1.116766667,2760,7.922985959,6484,8.777092883,13072,9.98667688,1308.943922,7.176975925,6169,0.471924725,6967,0.532971236,10652,0.814871481,1217,0.093099755,0.089017472,0.002294982,30,0.002292353,10,0.000764994,0.000764702,132,929
Canoga Park,588.15,781.14,0.325781492,-1.121528392,2.451584615,1.837792308,1.440553846,2.994846154,44333,10.6994846,76421,11.24401281,61398,4.235159402,14497.21113,9.581711574,29693,0.483615101,28918,0.47099254,29186,0.475357504,8793,0.143213134,0.133842836,0.003355158,206,0.003349542,140,0.002280205,0.002277609,16177,1513
Carson,331.39,450.74,0.951643673,-0.049564607,2.03562381,2.009142857,1.300080952,2.264871429,45665,10.72908742,84003,11.33860779,99199,19.98451713,4963.792689,8.509925383,48002,0.483896007,50762,0.511718868,28821,0.290537203,24017,0.242109295,0.216810979,0.007439591,738,0.007412054,2088,0.021048599,0.020830137,12916,7391
Carthay,480.4,563.95,0.388553555,-0.945324268,1.0655,1.3255,0.5615,1.9955,11962,9.389490238,22437,10.01846666,8143,0.777107109,10478.60701,9.25709103,4012,0.492693111,3999,0.491096647,5351,0.657128822,776,0.095296574,0.09102517,0.001964878,16,0.00196295,42,0.005157804,0.005144548,382,635
Century City,250.16,265.79,0.432296402,-0.83864381,0.514,2.0947,0.5919,1.8406,6040,8.706159291,15189,9.628326761,2314,0.432296402,5352.808835,8.585376718,1207,0.521607606,1148,0.496110631,1831,0.791270527,453,0.195764909,0.178786072,0,0,0,28,0.012100259,0.012027636,0,37
