Afri Amer perc,Afri Amer pop,Asian perc,Asian pop,Female perc,Females,Log(Afri Amer perc+1),Log(Asian perc+1),Log(Pacific Isl perc+1),Log(Rpl1),Log(pop dens),Males,Males perc,Neighborhoods,Other pop,Pacific Isl perc,Pacific Isl pop,Pred Formula Risk Score Tentative 2,Pred Formula Risk Score Tentative,r0,r1,Log[r1+1],Risk Score Tentative,Rpl1,Rpl2,Rpl3,Rpl4,Rpl Overall,Sum of Area Sqmi,Tot pop,Two or more pop,White perc,White pop,Ln(Visitors),Ln(Visits),Pop Dens,Raw Visitor,Raw Visits,r1-r0,Log[r1-r0],Risk Score Tentative Prediction Formula
0.006700476,255,0.096959823,3690,0.530362351,20184,0.006678128,0.092542556,0.002021237,-0.057209553,8.301464774,20162,0.529784271,Azusa,16772,0.002023281,77,3.032077426,4.336629845,425.36,786.48,6.6688379736,,0.944396148,2.05943,1.82823,1.24702,1.95363,9.443961484,38057,1417,0.451244186,17173,10.8234316,11.41927391,4029.770776,50183,91060,361.12,5.8919756486,4.5208058936
0.011708789,877,0.17949026,13444,0.493865235,36991,0.011640772,0.165082362,0.003385406,-0.897217537,9.348551335,38590,0.515213415,Baldwin Park,31713,0.003391143,254,4.628604505,5.090126093,205.81,465.03,6.1442500097,,0.4077025,2.59013125,1.8386125,1.79369375,2.3861625,6.523240007,74901,1436,0.350435909,26248,10.89642333,11.52750688,11482.17756,53982.93893,101468.8244,259.22,5.5615274271,5.353637363
0.003373972,119,0.010036859,354,0.492429827,17368,0.003368293,0.009986824,0.003085679,-1.34345219,9.868330064,18018,0.510859087,Bell,9402,0.003090445,109,7.504870465,7.775424206,448.64,957.83,6.8657137912,,0.260943286,3.191671429,2.043585714,1.854642857,2.736057143,1.826603003,35270,410,0.699603062,24675,10.89642333,11.52750688,19309.06713,53982.93893,101468.8244,509.19,6.2347832054,8.2704514453
0.003330128,142,0.007973547,340,0.502169274,21413,0.003324595,0.007941926,0.000211042,-1.29764669,9.760993622,21392,0.50167679,Bell Gardens,10188,0.000211064,9,9.019469597,8.648023874,325.04,752.25,6.624397178,,0.2731739,3.434455556,2.148922222,1.881755556,2.928666667,2.458565103,42641,423,0.734715415,31329,10.89642333,11.52750688,17343.85636,53982.93893,101468.8244,427.21,6.0596137295,9.4218289029
0.004862697,377,0.130222239,10096,0.515961769,40002,0.004850912,0.122414285,0.001121532,-1.078956337,9.446991918,37685,0.486076178,Bellflower,25453,0.001122161,87,7.206865686,7.513902214,241.85,541.58,6.29633554,10,0.339950134,2.426333333,2.114605556,1.366,2.8945,6.119102412,77529,3252,0.35946549,27869,10.97802912,11.58003256,12669.9955,58573,106941,299.73,5.7062128522,7.3027206425
0,0,0.094669118,1030,0.530606618,5773,0,0.090452142,0,1.126321396,7.069747836,5295,0.486672794,Beverly Crest,120,0,0,-4.785066524,-4.918729693,279.44,295.41,5.691743631,,3.084289726,0.5416,1.555566667,0.1922,0.477833333,9.252869178,10880,449,0.856158088,9315,8.476787777,9.287579152,1175.851489,4802,10803,15.97,2.8314470792,-2.92862269
0.001191099,41,0.0880251,3030,0.540555459,18607,0.00119039,0.084364218,0,0.110938937,8.389602087,15913,0.462291558,Beverly Hills,594,0,0,1.459547477,0.12727402,347.62,402.67,6.0005977125,,1.117326678,0.977957143,1.8034,0.450314286,1.526328571,7.821286747,34422,1596,0.837371448,28824,11.05888967,11.65057213,4401.066105,63506,114757,55.05,4.0262441495,1.2376554557
0,0,0.117587172,462,0.562229575,2209,0,0.111172051,0,-0.626526283,8.902666503,2006,0.510562484,Beverlywood,0,0,0,1.580504944,1.625357623,258.1,280.88,5.6414814485,,0.534445091,0.6525,1.8849,0.286,0.3428,0.534445091,3929,31,0.927716976,3645,10.89642333,11.52750688,7351.550358,53982.93893,101468.8244,22.78,3.1688448913,0.1676951198
0.000299536,2,0.049872697,333,0.092856073,620,0.000299491,0.048668916,0,0.721560948,8.084863116,525,0.078628126,Bradbury,59,0,0,-0.695362204,-0.554281431,187.09,280.64,5.6406296597,0,2.057642578,0.4167,2.058,0.6193,1.2231,2.057642578,6677,30,0.10498727,701,10.89642333,11.52750688,3244.97562,53982.93893,101468.8244,93.55,4.5491287951,0.0153055649
0.002186374,74,0.08452993,2861,0.530431957,17953,0.002183987,0.081146649,0,0.305972457,7.821018553,14510,0.428706494,Brentwood,273,0,0,1.435000445,-1.696209447,226.13,261.67,5.5708984915,,1.357944904,0.76321,1.65733,0.26237,1.39896,13.57944904,33846,1275,0.815960527,27617,10.31615996,10.94480612,2492.442801,30217,56659,35.54,3.5984075509,0.9678754522
0.004114799,436,0.112987099,11972,0.511207165,54167,0.004106356,0.107047481,0.000452902,-0.319780527,8.712534202,50416,0.47580668,Burbank,9724,0.000453005,48,3.27320264,1.777649205,292.97,376.94,5.9347354529,,0.726308425,1.55615,1.6928375,0.763629167,1.91915,17.43140221,105959,5046,0.705546485,74759,11.85973692,12.41049403,6078.627454,141455,245363,83.97,4.442298253,2.8680686792
0.002294982,30,0.093099755,1217,0.532971236,6967,0.002292353,0.089017472,0.000764702,1.202639604,7.176975925,6169,0.471924725,Calabasas,132,0.000764994,10,-3.507352139,-3.793062674,197.34,333.02,5.8112008714,,3.328892293,0.866466667,1.979933333,0.452733333,1.116766667,9.98667688,13072,929,0.814871481,10652,7.922985959,8.777092883,1308.943922,2760,6484,135.68,4.9176424272,-0.251544573
0.003355158,206,0.143213134,8793,0.47099254,28918,0.003349542,0.133842836,0.002277609,-1.121528392,9.581711574,29693,0.483615101,Canoga Park,16177,0.002280205,140,5.731575849,5.777196269,588.15,781.14,6.6620337527,,0.325781492,2.451584615,1.837792308,1.440553846,2.994846154,4.235159402,61398,1513,0.475357504,29186,10.6994846,11.24401281,14497.21113,44333,76421,192.99,5.2678066113,6.3180333002
0.007439591,738,0.242109295,24017,0.511718868,50762,0.007412054,0.216810979,0.020830137,-0.049564607,8.509925383,48002,0.483896007,Carson,12916,0.021048599,2088,3.577177263,-2.565657686,331.39,450.74,6.1131067931,,0.951643673,2.03562381,2.009142857,1.300080952,2.264871429,19.98451713,99199,7391,0.290537203,28821,10.72908742,11.33860779,4963.792689,45665,84003,119.35,4.7904041642,4.2730361928
0.001964878,16,0.095296574,776,0.491096647,3999,0.00196295,0.09102517,0.005144548,-0.945324268,9.25709103,4012,0.492693111,Carthay,382,0.005157804,42,-0.022416052,0.3362932,480.4,563.95,6.3367372317,,0.388553555,1.0655,1.3255,0.5615,1.9955,0.777107109,8143,635,0.657128822,5351,9.389490238,10.01846666,10478.60701,11962,22437,83.55,4.4373430753,1.0033200811
0,0,0.195764909,453,0.496110631,1148,0,0.178786072,0.012027636,-0.83864381,8.585376718,1207,0.521607606,Century City,0,0.012100259,28,-1.186845663,-2.694694685,250.16,265.79,5.5864618321,,0.432296402,0.514,2.0947,0.5919,1.8406,0.432296402,2314,37,0.791270527,1831,8.706159291,9.628326761,5352.808835,6040,15189,15.63,2.8112082932,-0.316297608
0.002571155,129,0.602906003,30249,0.513373993,25757,0.002567855,0.471818234,0.001453938,-0.232054254,8.657371363,24040,0.479151718,Cerritos,2208,0.001454995,73,1.857635778,-0.103212064,147.8,257.65,5.5554757964,,0.792903104,1.287436364,1.761927273,1.324236364,1.663281818,8.72193414,50172,1719,0.224766802,11277,10.21354248,10.75010661,5752.393815,27270,46635,109.85,4.7081779361,2.0585608128
0.00170503,22,0.124777184,1610,0.499806247,6449,0.001703578,0.117584957,0,-0.485825647,9.257893588,6122,0.474463303,Charter Oak,3202,0,0,4.559651264,5.735821539,0,0,0,,0.615189058,2.2507,2.1306,1.13805,2.79185,1.230378116,12903,1151,0.466248159,6016,10.14195312,10.7119035,10487.02007,25386,44887,0,0,2.1140600498
0.005354779,267,0.197324616,9839,0.478901769,23879,0.005340493,0.180089581,0.001162534,0.210858112,8.041206999,23007,0.461413501,Chatsworth,3651,0.00116321,58,-0.111677128,-1.611915995,353.47,542.35,6.2977536795,,1.234737148,1.132207692,1.685753846,0.675076923,1.807269231,16.05158292,49862,2400,0.575989732,28720,11.09321943,11.78736271,3106.360303,65724,131579,188.88,5.2463922937,1.2451477409
0.003078953,28,0.088409941,804,0.551682428,5017,0.003074223,0.084717861,0.000769442,-0.140817039,8.563039993,4747,0.521992523,Cheviot Hills,110,0.000769738,7,-2.191554512,-0.172172809,196.27,239.89,5.4843403978,,0.868648226,0.30745,1.8471,0.2638,1.6148,1.737296451,9094,327,0.908071256,8258,9.893538222,10.59287768,5234.570067,19802,39850,43.62,3.798182189,-1.241294483
0.012735502,242,0.331859804,6306,0.291864014,5546,0.012655088,0.286576314,0.002155344,-1.511938771,9.977943924,12106,0.637090833,Chinatown,1948,0.002157668,41,-1.14160669,5.83712718,124.67,311.68,5.7451803034,,0.220482099,3.1007,1.707,1.588125,2.95625,0.881928397,19002,474,0.289443217,5500,10.89642333,11.52750688,21545.96684,53982.93893,101468.8244,187.01,5.2364951529,3.5419625515
0.008483862,271,0.179068967,5720,0.616660927,19698,0.008448076,0.164725116,0.000532056,0.574991158,7.717275644,18508,0.579407069,Claremont,2840,0.000532198,17,0.434252818,-0.784350065,82.23,123.34,4.8230197488,,1.777114813,1.5736,1.8321,0.6577875,2.025375,14.2169185,31943,1707,0.812447172,25952,9.374497958,9.99369382,2246.830071,11784,21888,41.11,3.7402852422,1.9114444137
0.010510733,142,0.009104367,123,0.489563286,6614,0.010455879,0.009063172,0.001109673,0.901679122,7.51089402,6937,0.513471503,Commerce,2412,0.001110289,15,4.727962309,4.152499563,160.69,612.14,6.4185932949,,2.463736553,3.226166667,2.482866667,1.743366667,2.498733333,7.39120966,13510,320,0.754330126,10191,10.51466517,11.16342472,1827.846945,36852,70504,451.45,6.1146772598,7.707664465
0.00435329,485,0.009828561,1095,0.519558388,57884,0.004343842,0.009780575,0.003011348,-0.839266413,9.282184952,54350,0.487837717,Compton,31925,0.003015887,336,9.151712127,9.832997643,295.28,634.61,6.4545851677,,0.432027337,3.223320833,2.380729167,1.745291667,2.888691667,10.36865608,111410,2323,0.380441612,42385,10.38745572,10.99586377,10744.88334,32450,59627,339.33,5.8299157351,9.6287280405
0.009743613,434,0.123097301,5483,0.565713259,25198,0.00969645,0.116090316,0,-0.603395685,9.004998435,23870,0.535898702,Covina,15054,0,0,5.686341141,6.574679333,448.41,719.94,6.5805559161,,0.546951205,2.2371,2.136,1.3156,2.8827,5.469512052,44542,2266,0.531857573,23690,10.60552014,11.16720459,8143.688061,40357,70771,271.53,5.6077486998,6.5225149028
0.003164557,76,0.006204197,149,0.507411726,12186,0.00315956,0.00618503,0.00166417,-1.678179462,9.972895547,11920,0.496335776,Cudahy,6106,0.001665556,40,10.66297341,9.452503152,406.62,1072,6.9782137426,10,0.186713586,3.466683333,2.18875,1.871916667,2.655966667,1.120281516,24016,511,0.712983011,17123,10.89642333,11.52750688,21437.46876,53982.93893,101468.8244,665.38,6.5018600784,10.566970511
0.006958116,205,0.151856629,4474,0.515036318,15174,0.00693402,0.141375101,0.000576848,-0.649517095,8.994463523,14312,0.485778291,Culver City,2023,0.000577014,17,1.674332025,1.999015038,296,403.86,6.0035413283,,0.522297936,1.1808,1.590342857,0.849671429,2.477128571,3.656085552,29462,1760,0.661360396,19485,9.239802082,9.782392789,8058.345348,10299,17719,107.86,4.690062653,2.5857601713
0.004241248,59,0.066637912,927,0.486233916,6764,0.004232279,0.064511563,0.024918764,-0.282334151,9.129622145,7874,0.566026885,Del Aire,2893,0.025231831,351,-0.212169938,-1.474429728,250.4,364.22,5.9004999117,,0.754021685,1.9224,2.07305,1.15625,2.4581,1.508043369,13911,1083,0.57371864,7981,10.89642333,11.52750688,9224.53577,53982.93893,101468.8244,113.82,4.7433656847,2.1605667543
0.019781057,571,0.149968821,4329,0.529273193,15278,0.019587954,0.13973483,0.001799806,-1.11768686,9.442196422,13811,0.478452158,Del Rey,2644,0.001801427,52,4.922776916,2.051728322,193.75,585.05,6.3734051102,,0.327035399,1.780428571,1.663142857,0.954371429,2.339271429,2.289247793,28866,1866,0.640823114,18498,9.924857578,10.49393733,12609.38204,20432,36096,391.3,5.9720268532,5.3217977956
0.005940083,276,0.534327652,24827,0.519305269,24129,0.00592251,0.428092273,0.011320835,0.714980474,7.834228047,22297,0.479876894,Diamond Bar,3954,0.011385158,529,-1.500019628,-6.798611882,76.5,118.23,4.7810544008,,2.044146768,1.210144444,1.527077778,1.377522222,1.388877778,18.39732092,46464,1899,0.281422176,13076,10.89642333,11.52750688,2525.585123,53982.93893,101468.8244,41.73,3.7549012497,-1.128386312
0.002438204,290,0.069463595,8262,0.51797545,61608,0.002435236,0.06715721,0.001948663,-0.597467236,9.148347464,57811,0.486051791,Downey,24432,0.001950563,232,4.205101407,4.418651501,267.8,652,6.4815771293,,0.550203408,2.060378261,1.929565217,1.419352174,2.300765217,12.65467838,118940,3408,0.65648226,78082,11.32143803,11.95431097,9398.895526,82573,155486,384.2,5.9537626799,4.7486162808
0.007347905,118,0.166199639,2669,0.585652905,9405,0.007321041,0.15375029,0,2.604511793,5.980900637,7893,0.491500093,Duarte,2810,0,0,-3.43296332,-4.466479321,639.18,947.28,6.8546498173,,13.52462088,1.099133333,1.7569,0.9335,1.9763,40.57386265,16059,736,0.581356249,9336,10.15229885,10.75286896,395.7966768,25650,46764,308.1,5.7336648491,0.2041819451
0.009340529,315,0.24988139,8427,0.512068557,17269,0.009297176,0.223048659,0.003079112,-0.657700299,9.004223785,15890,0.471177796,Eagle Rock,3887,0.003083857,104,4.242480812,1.165825087,325.85,464.78,6.1437134196,,0.518041306,1.8178875,1.9686875,1.0920125,2.536225,4.144330451,33724,2027,0.529355948,17852,10.49943527,11.16007178,8137.381997,36295,70268,138.93,4.9411422976,4.5523757242
0.003135878,209,0.188482775,12562,0.515019205,34325,0.003130971,0.172677515,0.00118463,-2.011620761,10.22842932,34252,0.513923899,East Hollywood,25267,0.001185332,79,8.068077833,7.400487996,587.29,778.5,6.6586526885,,0.133771687,2.858516667,1.677727778,1.563533333,3.515711111,2.407890374,66648,1785,0.400447125,26689,10.00518637,10.60905725,27679.00097,22141,40500,191.21,5.2585885243,8.0674911456
0.00904629,94,0.055047637,572,0.526609566,5472,0.009005617,0.053585919,0.001058048,-0.586458998,9.142007144,4963,0.477624868,East La Mirada,2010,0.001058608,11,3.765165996,2.08798132,170.07,302.34,5.7148542886,,0.556293638,1.9723,1.7049,0.8499,2.09495,1.112587276,10391,339,0.710614955,7384,10.89642333,11.52750688,9339.492033,53982.93893,101468.8244,132.27,4.8923771456,3.8424806479
0.005138562,603,0.010430514,1224,0.526323414,61763,0.005125405,0.010376492,0.0000596,-1.36242694,9.703121587,59598,0.507874016,East Los Angeles,56847,0.0000597,7,8.292741656,9.029068428,391.96,876.51,6.7770883513,,0.256038632,3.353039286,2.073903571,1.869067857,2.257164286,7.169081703,117348,1728,0.515705423,60517,10.2995082,11.04920605,16368.62361,29718,62894,484.55,6.185282269,8.6785639059
0.00376569,9,0.360669456,862,0.483263598,1155,0.003758618,0.307976826,0,-0.82461496,8.603663605,1260,0.527196653,East Pasadena,284,0,0,1.311693119,2.179393238,0,62.47,4.1505673533,,0.438403763,1.1612,1.5466,1.2474,1.4186,0.438403763,2390,166,0.441841004,1056,10.89642333,11.52750688,5451.595542,53982.93893,101468.8244,62.47,4.1505673533,0.9084822875
0.017251052,615,0.151725105,5409,0.490378682,17482,0.017103942,0.14126091,0.000476744,-1.373207876,9.657487723,17838,0.500364656,Echo Park,6839,0.000476858,17,2.170849572,0.754413989,231.48,343.71,5.8427034838,,0.253293122,2.247466667,1.4629,1.326477778,2.930177778,2.2796381,35650,1418,0.554810659,19779,10.312214,11.20828711,15638.44717,30098,73739,112.23,4.7294211483,2.9716264693
0.005141248,566,0.296739032,32668,0.507639204,55886,0.005128077,0.259852676,0.003626806,-0.897943671,9.328943331,54756,0.497374875,El Monte,19469,0.003633391,400,6.674956818,3.472848746,211.48,484.36,6.1848908836,,0.407406561,2.7034875,2.0938875,1.798408333,3.043595833,9.777757475,110090,1510,0.504578072,55549,11.41255249,12.04465899,11259.22792,90450,170188,272.88,5.6126900543,6.9296971451
0.004866469,82,0.074718101,1259,0.506468843,8534,0.004854666,0.072058396,0.003613641,-0.093758119,8.034104585,8367,0.496557864,El Segundo,427,0.003620178,61,-2.456076564,-4.455878264,178.72,208.51,5.3447714709,,0.910502969,0.8434,1.0593,0.213216667,1.120933333,5.463017816,16850,1338,0.79810089,13448,9.803114578,10.56921215,3084.37581,18090,38918,29.79,3.4271899619,-1.699651803
